,Counts
ENSR00000220408,1
7:45202193-45208193,1
ENSR00000212626,1
ENSR00000262495,1
ENSR00000030704,1
ENSR00000170450,1
5:55431213-55437213,1
ENSR00000166139,1
ENSR00000045535,1
ENSR00000266090,1
ENSR00000212182,1
2:104844124-104850124,1
2:210068056-210074056,1
ENSR00000147864,1
3:61679248-61685248,1
ENSR00000170451,1
ENSR00000153769,1
ENSR00000182881,1
ENSR00000145514,1
ENSR00000099694,1
ENSR00000252454,1
ENSR00000153457,1
ENSR00000148945,1
ENSR00000099695,1
13:22881603-22887603,1
ENSR00000213403,1
5:87320506-87326506,1
ENSR00000135365,1
ENSR00000045534,1
20:19898008-19904008,1
ENSR00000135364,1
1:39047635-39053635,1
ENSR00000086044,1
ENSR00000168729,1
ENSR00000026654,1
ENSR00000001590,1
ENSR00000180753,1
ENSR00000088188,1
ENSR00000094549,1
6:166979007-166985007,1
ENSR00000088720,1
ENSR00000129632,1
ENSR00000029395,1
ENSR00000177500,1
ENSR00000292028,1
ENSR00000128820,1
14:103262216-103268216,1
22:32822547-32828547,1
ENSR00000266089,1
ENSR00000186834,1
ENSR00000254632,1
ENSR00000222533,1
ENSR00000301681,1
ENSR00000310932,1
ENSR00000168730,1
ENSR00000143022,1
ENSR00000212229,1
ENSR00000170452,1
ENSR00000115040,1
ENSR00000258359,1
ENSR00000045533,1
5:87318918-87324918,1
ENSR00000010062,1
ENSR00000050878,1
ENSR00000025054,1
ENSR00000234710,1
ENSR00000154577,1
ENSR00000026653,1
ENSR00000279703,1
ENSR00000156547,1
ENSR00000088461,1
ENSR00000292170,1
ENSR00000036711,1
ENSR00000283588,1
ENSR00000226753,1
ENSR00000226752,1
1:206065034-206071034,1
ENSR00000220405,1
ENSR00000031921,1
ENSR00000116608,1
ENSR00000018885,1
ENSR00000018887,1
ENSR00000313466,1
ENSR00000116288,1
ENSR00000168731,1
ENSR00000025053,1
ENSR00000031361,1
ENSR00000222532,1
ENSR00000077095,1
7:53395636-53401636,1
ENSR00000119895,1
ENSR00000128088,1
10:95324211-95330211,1
ENSR00000256340,1
ENSR00000018886,1
ENSR00000046857,1
ENSR00000031920,1
ENSR00000080480,1
ENSR00000080481,1
ENSR00000097729,1
ENSR00000018884,1
ENSR00000263320,1
ENSR00000059933,1
ENSR00000018883,1
ENSR00000025052,1
ENSR00000189499,1
ENSR00000258358,1
ENSR00000322368,1
ENSR00000237379,1
ENSR00000168732,1
ENSR00000031905,1
ENSR00000080475,1
2:34819739-34825739,1
ENSR00000197722,1
6:106758262-106764262,1
ENSR00000311539,1
ENSR00000080479,1
17:70118244-70124244,1
ENSR00000046868,1
ENSR00000097730,1
ENSR00000212023,1
ENSR00000094273,1
ENSR00000027936,1
ENSR00000021040,1
ENSR00000074242,1
ENSR00000216129,1
ENSR00000087861,1
ENSR00000027547,1
ENSR00000199772,1
ENSR00000333971,1
ENSR00000125658,1
ENSR00000043025,1
ENSR00000251054,1
ENSR00000253250,1
ENSR00000261844,1
ENSR00000175179,1
ENSR00000259760,1
ENSR00000163986,1
ENSR00000186035,1
ENSR00000186034,1
ENSR00000143262,1
ENSR00000163985,1
ENSR00000223718,1
ENSR00000294630,1
ENSR00000213062,1
ENSR00000213063,1
ENSR00000232284,1
ENSR00000155637,1
ENSR00000099563,1
ENSR00000025462,1
ENSR00000175180,1
ENSR00000310601,1
ENSR00000211619,1
ENSR00000295789,1
ENSR00000043060,1
ENSR00000265222,1
ENSR00000292392,1
ENSR00000206273,1
ENSR00000206272,1
ENSR00000325922,1
ENSR00000206173,1
ENSR00000188682,1
ENSR00000309103,1
ENSR00000004187,1
ENSR00000188681,1
5:5308414-5314414,1
ENSR00000217165,1
ENSR00000262893,1
ENSR00000312036,1
ENSR00000231303,1
ENSR00000317503,1
ENSR00000223532,1
ENSR00000323997,1
ENSR00000051998,1
ENSR00000169428,1
ENSR00000137658,1
ENSR00000156546,1
ENSR00000217167,1
5:139545404-139551404,1
ENSR00000092145,1
ENSR00000206343,1
ENSR00000317502,1
ENSR00000106947,1
ENSR00000256342,1
5:139528880-139534880,1
ENSR00000287381,1
ENSR00000187669,1
ENSR00000235749,1
ENSR00000290307,1
17:50646333-50652333,1
ENSR00000168956,1
ENSR00000038577,1
9:70784651-70790651,1
ENSR00000111952,1
20:45237957-45243957,1
ENSR00000264340,1
ENSR00000204283,1
ENSR00000113752,1
ENSR00000227511,1
ENSR00000113754,1
ENSR00000248296,1
2:20206538-20212538,1
ENSR00000106260,1
ENSR00000151411,1
ENSR00000151410,1
ENSR00000343138,1
ENSR00000113753,1
ENSR00000126015,1
ENSR00000089402,1
ENSR00000248297,1
ENSR00000343139,1
ENSR00000204284,1
ENSR00000074563,1
ENSR00000240118,1
ENSR00000005565,1
ENSR00000088725,1
ENSR00000005564,1
ENSR00000251502,1
ENSR00000288114,1
ENSR00000108824,1
ENSR00000126014,1
ENSR00000079292,1
ENSR00000088724,1
ENSR00000076776,1
ENSR00000306140,1
ENSR00000115691,1
ENSR00000089785,1
ENSR00000239037,1
ENSR00000270758,1
11:1669940-1675940,1
ENSR00000089386,1
ENSR00000048586,1
ENSR00000109361,1
ENSR00000108823,1
ENSR00000227636,1
ENSR00000089387,1
ENSR00000239036,1
ENSR00000112455,1
ENSR00000032472,1
ENSR00000089388,1
ENSR00000239035,1
ENSR00000166645,1
ENSR00000035819,1
ENSR00000031585,1
ENSR00000119906,1
ENSR00000121344,1
ENSR00000342669,1
ENSR00000121287,1
ENSR00000270757,1
ENSR00000059233,1
ENSR00000257981,1
ENSR00000320173,1
ENSR00000229378,1
ENSR00000301874,1
ENSR00000261094,1
8:119109483-119115483,1
ENSR00000290150,1
ENSR00000097601,1
ENSR00000146178,1
ENSR00000146179,1
ENSR00000095756,1
ENSR00000207680,1
ENSR00000029554,1
ENSR00000045237,1
ENSR00000052553,1
ENSR00000098735,1
ENSR00000296587,1
ENSR00000132260,1
ENSR00000095757,1
ENSR00000221593,1
ENSR00000015371,1
ENSR00000095758,1
ENSR00000337993,1
9:128895265-128901265,1
ENSR00000225381,1
ENSR00000015372,1
ENSR00000260901,1
20:22517927-22523927,1
ENSR00000176113,1
ENSR00000264109,1
ENSR00000160286,1
ENSR00000217187,1
ENSR00000175240,1
ENSR00000141752,1
ENSR00000313236,1
ENSR00000313237,1
ENSR00000265585,1
ENSR00000114253,1
ENSR00000333814,1
ENSR00000164703,1
8:79944417-79950417,1
ENSR00000114252,1
ENSR00000164702,1
ENSR00000225893,1
ENSR00000179321,1
ENSR00000179320,1
ENSR00000208868,1
ENSR00000013196,1
4:745911-751911,1
ENSR00000018832,1
ENSR00000216444,1
ENSR00000189822,1
ENSR00000127930,1
ENSR00000127931,1
ENSR00000179032,1
ENSR00000334392,1
ENSR00000127929,1
ENSR00000030714,1
ENSR00000260415,1
ENSR00000126855,1
ENSR00000127928,1
ENSR00000113763,1
ENSR00000213947,1
ENSR00000019185,1
ENSR00000278359,1
ENSR00000079356,1
ENSR00000028977,1
ENSR00000213946,1
ENSR00000140124,1
ENSR00000069433,1
ENSR00000171361,1
ENSR00000171362,1
ENSR00000171363,1
ENSR00000177577,1
ENSR00000040994,1
ENSR00000212835,1
ENSR00000290783,1
ENSR00000320642,1
ENSR00000171364,1
ENSR00000116671,1
ENSR00000171365,1
ENSR00000115682,1
ENSR00000179289,1
ENSR00000043912,1
ENSR00000141767,1
ENSR00000184232,1
ENSR00000053424,1
ENSR00000043981,1
ENSR00000151243,1
3:152309504-152315504,1
ENSR00000326714,1
ENSR00000115688,1
ENSR00000271728,1
ENSR00000053423,1
17:32396993-32402993,1
ENSR00000160396,1
